statistic_label,tlist(a1),year,type_of_innovation,value
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Industrial Design,0.4
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Trademark,8.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Trademark,7.3
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Trademark,7.0
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Trade Secret,5.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Trade Secret,3.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Trade Secret,2.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Copyright,2.0
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Copyright,3.1
Enterprises Engaged in Intellectual Property Rights Activities,2016,2016,Copyright,3.6
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Any,19.8
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Any,15.3
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Any,12.7
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Patent,10.2
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Patent,7.1
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Patent,5.4
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Industrial Design,4.1
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Industrial Design,2.6
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Industrial Design,1.8
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Trademark,10.0
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Trademark,8.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Trademark,7.7
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Trade Secret,7.3
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Trade Secret,5.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Trade Secret,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Copyright,3.2
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Copyright,3.4
Enterprises Engaged in Intellectual Property Rights Activities,2018,2018,Copyright,3.5
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Any,15.9
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Any,12.1
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Any,9.9
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Patent,8.4
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Patent,6.0
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Patent,4.7
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Industrial Design,1.7
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Industrial Design,1.2
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Industrial Design,1.0
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Trademark,7.8
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Trademark,6.4
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Trademark,5.6
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Trade Secret,2.7
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Trade Secret,2.1
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Trade Secret,1.8
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Copyright,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Copyright,3.4
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,Copyright,2.8
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Any,13.8
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Any,13.4
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Any,13.1
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Patent,6.2
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Patent,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Patent,3.4
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Utility Model,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Industrial Design,1.1
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Industrial Design,0.7
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Industrial Design,0.4
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Trademark,6.0
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Trademark,5.6
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Trademark,5.4
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Trade Secret,5.0
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Trade Secret,3.9
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Trade Secret,3.3
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Copyright,1.0
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Copyright,1.3
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Copyright,1.4
