Statistic Label,Year,Nationality of Ownership,VALUE
Estimated Total Current Expenditure,2008,All nationalities of ownership,1415659
Estimated Total Current Expenditure,2008,Irish ownership,469074
Estimated Total Current Expenditure,2008,Non Irish ownership,946585
Estimated Total Current Expenditure,2009,All nationalities of ownership,
Estimated Total Current Expenditure,2009,Irish ownership,
Estimated Total Current Expenditure,2009,Non Irish ownership,
Estimated Total Current Expenditure,2010,All nationalities of ownership,1532181
Estimated Total Current Expenditure,2010,Irish ownership,490141
Estimated Total Current Expenditure,2010,Non Irish ownership,1042040
Estimated Total Current Expenditure,2011,All nationalities of ownership,
Estimated Total Current Expenditure,2011,Irish ownership,
Estimated Total Current Expenditure,2011,Non Irish ownership,
Estimated Total Current Expenditure,2012,All nationalities of ownership,1732405
Estimated Total Current Expenditure,2012,Irish ownership,543938
Estimated Total Current Expenditure,2012,Non Irish ownership,1188467
Estimated Total Current Expenditure,2013,All nationalities of ownership,
Estimated Total Current Expenditure,2013,Irish ownership,
Estimated Total Current Expenditure,2013,Non Irish ownership,
Estimated Total Current Expenditure,2014,All nationalities of ownership,1927229
Estimated Total Current Expenditure,2014,Irish ownership,697179
Estimated Total Current Expenditure,2014,Non Irish ownership,1230051
Estimated Total Current Expenditure,2015,All nationalities of ownership,
Estimated Total Current Expenditure,2015,Irish ownership,
Estimated Total Current Expenditure,2015,Non Irish ownership,
Estimated Total Current Expenditure,2016,All nationalities of ownership,2090611
Estimated Total Current Expenditure,2016,Irish ownership,841780
Estimated Total Current Expenditure,2016,Non Irish ownership,1248831
Estimated Total Current Expenditure,2017,All nationalities of ownership,
Estimated Total Current Expenditure,2017,Irish ownership,
Estimated Total Current Expenditure,2017,Non Irish ownership,
Estimated Total Current Expenditure,2018,All nationalities of ownership,2541566
Estimated Total Current Expenditure,2018,Irish ownership,867527
Estimated Total Current Expenditure,2018,Non Irish ownership,1674038
Estimated Total Current Expenditure,2019,All nationalities of ownership,
Estimated Total Current Expenditure,2019,Irish ownership,
Estimated Total Current Expenditure,2019,Non Irish ownership,
Estimated Total Current Expenditure,2020,All nationalities of ownership,2536714
Estimated Total Current Expenditure,2020,Irish ownership,737490
Estimated Total Current Expenditure,2020,Non Irish ownership,1799224
Estimated Total Current Expenditure,2021,All nationalities of ownership,
Estimated Total Current Expenditure,2021,Irish ownership,
Estimated Total Current Expenditure,2021,Non Irish ownership,
Estimated Total Current Expenditure,2022,All nationalities of ownership,4586202
Estimated Total Current Expenditure,2022,Irish ownership,
Estimated Total Current Expenditure,2022,Non Irish ownership,
Estimated Total Current Expenditure,2023,All nationalities of ownership,
Estimated Total Current Expenditure,2023,Irish ownership,
Estimated Total Current Expenditure,2023,Non Irish ownership,
Estimated Total Current Expenditure,2024,All nationalities of ownership,4704210
Estimated Total Current Expenditure,2024,Irish ownership,
Estimated Total Current Expenditure,2024,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2007,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2007,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2007,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2008,All nationalities of ownership,64304
Estimated Capital Expenditure - Land and Buildings,2008,Irish ownership,19870
Estimated Capital Expenditure - Land and Buildings,2008,Non Irish ownership,44434
Estimated Capital Expenditure - Land and Buildings,2009,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2009,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2009,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2010,All nationalities of ownership,38081
Estimated Capital Expenditure - Land and Buildings,2010,Irish ownership,22334
Estimated Capital Expenditure - Land and Buildings,2010,Non Irish ownership,15747
Estimated Capital Expenditure - Land and Buildings,2011,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2011,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2011,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2012,All nationalities of ownership,12902
Estimated Capital Expenditure - Land and Buildings,2012,Irish ownership,6641
Estimated Capital Expenditure - Land and Buildings,2012,Non Irish ownership,6262
Estimated Capital Expenditure - Land and Buildings,2013,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2013,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2013,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2014,All nationalities of ownership,10900
Estimated Capital Expenditure - Land and Buildings,2014,Irish ownership,6089
Estimated Capital Expenditure - Land and Buildings,2014,Non Irish ownership,4812
Estimated Capital Expenditure - Land and Buildings,2015,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2015,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2015,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2016,All nationalities of ownership,33944
Estimated Capital Expenditure - Land and Buildings,2016,Irish ownership,13800
Estimated Capital Expenditure - Land and Buildings,2016,Non Irish ownership,20144
Estimated Capital Expenditure - Land and Buildings,2017,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2017,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2017,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2018,All nationalities of ownership,64849
Estimated Capital Expenditure - Land and Buildings,2018,Irish ownership,20721
Estimated Capital Expenditure - Land and Buildings,2018,Non Irish ownership,44128
Estimated Capital Expenditure - Land and Buildings,2019,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2019,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2019,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2020,All nationalities of ownership,46397
Estimated Capital Expenditure - Land and Buildings,2020,Irish ownership,7630
Estimated Capital Expenditure - Land and Buildings,2020,Non Irish ownership,38767
Estimated Capital Expenditure - Land and Buildings,2021,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2021,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2021,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2022,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2022,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2022,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2023,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2023,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2023,Non Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2024,All nationalities of ownership,
Estimated Capital Expenditure - Land and Buildings,2024,Irish ownership,
Estimated Capital Expenditure - Land and Buildings,2024,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2007,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2007,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2007,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2008,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2008,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2008,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2009,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2009,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2009,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2010,All nationalities of ownership,3203
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2010,Irish ownership,2206
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2010,Non Irish ownership,997
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2011,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2011,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2011,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2012,All nationalities of ownership,7061
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2012,Irish ownership,3787
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2012,Non Irish ownership,3274
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2013,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2013,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2013,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2014,All nationalities of ownership,12802
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2014,Irish ownership,4285
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2014,Non Irish ownership,8516
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2015,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2015,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2015,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2016,All nationalities of ownership,31870
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2016,Irish ownership,8046
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2016,Non Irish ownership,23824
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2017,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2017,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2017,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2018,All nationalities of ownership,16070
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2018,Irish ownership,7801
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2018,Non Irish ownership,8269
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2019,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2019,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2019,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2020,All nationalities of ownership,429894
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2020,Irish ownership,13325
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2020,Non Irish ownership,416568
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2021,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2021,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2021,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2022,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2022,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2022,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2023,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2023,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2023,Non Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2024,All nationalities of ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2024,Irish ownership,
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2024,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2007,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2007,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2007,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2008,All nationalities of ownership,206768
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2008,Irish ownership,32505
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2008,Non Irish ownership,174263
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2009,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2009,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2009,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2010,All nationalities of ownership,228053
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2010,Irish ownership,40882
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2010,Non Irish ownership,187171
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2011,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2011,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2011,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2012,All nationalities of ownership,85823
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2012,Irish ownership,17590
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2012,Non Irish ownership,68233
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2013,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2013,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2013,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2014,All nationalities of ownership,104341
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2014,Irish ownership,20418
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2014,Non Irish ownership,83923
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2015,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2015,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2015,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2016,All nationalities of ownership,99648
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2016,Irish ownership,32366
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2016,Non Irish ownership,67283
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2017,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2017,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2017,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2018,All nationalities of ownership,103731
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2018,Irish ownership,26330
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2018,Non Irish ownership,77401
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2019,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2019,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2019,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2020,All nationalities of ownership,135763
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2020,Irish ownership,20101
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2020,Non Irish ownership,115662
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2021,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2021,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2021,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2022,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2022,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2022,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2023,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2023,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2023,Non Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2024,All nationalities of ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2024,Irish ownership,
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2024,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,All nationalities of ownership,30143
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,Irish ownership,26188
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,Non Irish ownership,3955
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,All nationalities of ownership,14566
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,Irish ownership,3970
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,Non Irish ownership,10596
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,All nationalities of ownership,12977
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,Irish ownership,6895
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,Non Irish ownership,6082
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,All nationalities of ownership,10846
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,Irish ownership,8816
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,Non Irish ownership,2030
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,All nationalities of ownership,14976
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,Irish ownership,10795
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,Non Irish ownership,4181
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,All nationalities of ownership,15778
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,Irish ownership,10514
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2020,Non Irish ownership,5264
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2021,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2022,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2023,Non Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,All nationalities of ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,Irish ownership,
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2024,Non Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2007,All nationalities of ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2007,Irish ownership,
Estimated Capital Expenditure - Software development by company in-house and used in-house,2007,Non Irish ownership,
