STATISTIC Label,TLIST(A1),Year,Type of Innovation,VALUE
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,All enterprises using trade secrets,1.8
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,All enterprises claiming copyright,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,All enterprises claiming copyright,3.4
Enterprises Engaged in Intellectual Property Rights Activities,2020,2020,All enterprises claiming copyright,2.8
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Any intellectual innovation,13.8
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Any intellectual innovation,13.4
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Any intellectual innovation,13.1
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Apply for a patent,6.2
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Apply for a patent,4.5
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Apply for a patent,3.4
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Apply for a European utility model,
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Register an industrial design right,1.1
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Register an industrial design right,0.7
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Register an industrial design right,0.4
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Register a trademark,6
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Register a trademark,5.6
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,Register a trademark,5.4
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,All enterprises using trade secrets,5
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,All enterprises using trade secrets,3.9
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,All enterprises using trade secrets,3.3
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,All enterprises claiming copyright,1
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,All enterprises claiming copyright,1.3
Enterprises Engaged in Intellectual Property Rights Activities,2022,2022,All enterprises claiming copyright,1.4
