Statistic Label,Year,Nationality of Ownership,Expenditure,VALUE
Enterprises Engaged in Research and Development Activities (Number),2011,Non Irish ownership,"€5,000,000 and over",54
Enterprises Engaged in Research and Development Activities (Number),2013,All nationalities of ownership,Any expenditure,1979
Enterprises Engaged in Research and Development Activities (Number),2013,All nationalities of ownership,"€0 - €99,999",768
Enterprises Engaged in Research and Development Activities (Number),2013,All nationalities of ownership,"€100,000 - €499,999",690
Enterprises Engaged in Research and Development Activities (Number),2013,All nationalities of ownership,"€500,000 - €1,999,999",349
Enterprises Engaged in Research and Development Activities (Number),2013,All nationalities of ownership,"€2,000,000 - €4,999,999",96
Enterprises Engaged in Research and Development Activities (Number),2013,All nationalities of ownership,"€5,000,000 and over",76
Enterprises Engaged in Research and Development Activities (Number),2013,Irish ownership,Any expenditure,1574
Enterprises Engaged in Research and Development Activities (Number),2013,Irish ownership,"€0 - €99,999",704
Enterprises Engaged in Research and Development Activities (Number),2013,Irish ownership,"€100,000 - €499,999",570
Enterprises Engaged in Research and Development Activities (Number),2013,Irish ownership,"€500,000 - €1,999,999",245
Enterprises Engaged in Research and Development Activities (Number),2013,Irish ownership,"€2,000,000 - €4,999,999",34
Enterprises Engaged in Research and Development Activities (Number),2013,Irish ownership,"€5,000,000 and over",21
Enterprises Engaged in Research and Development Activities (Number),2013,Non Irish ownership,Any expenditure,405
Enterprises Engaged in Research and Development Activities (Number),2013,Non Irish ownership,"€0 - €99,999",64
Enterprises Engaged in Research and Development Activities (Number),2013,Non Irish ownership,"€100,000 - €499,999",120
Enterprises Engaged in Research and Development Activities (Number),2013,Non Irish ownership,"€500,000 - €1,999,999",104
Enterprises Engaged in Research and Development Activities (Number),2013,Non Irish ownership,"€2,000,000 - €4,999,999",62
Enterprises Engaged in Research and Development Activities (Number),2013,Non Irish ownership,"€5,000,000 and over",55
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities of ownership,Any expenditure,1875
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities of ownership,"€0 - €99,999",694
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities of ownership,"€100,000 - €499,999",677
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities of ownership,"€500,000 - €1,999,999",320
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities of ownership,"€2,000,000 - €4,999,999",90
Enterprises Engaged in Research and Development Activities (Number),2015,All nationalities of ownership,"€5,000,000 and over",94
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,Any expenditure,1488
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,"€0 - €99,999",624
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,"€100,000 - €499,999",577
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,"€500,000 - €1,999,999",218
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,"€2,000,000 - €4,999,999",44
Enterprises Engaged in Research and Development Activities (Number),2015,Irish ownership,"€5,000,000 and over",25
Enterprises Engaged in Research and Development Activities (Number),2015,Non Irish ownership,Any expenditure,387
Enterprises Engaged in Research and Development Activities (Number),2015,Non Irish ownership,"€0 - €99,999",70
Enterprises Engaged in Research and Development Activities (Number),2015,Non Irish ownership,"€100,000 - €499,999",100
Enterprises Engaged in Research and Development Activities (Number),2015,Non Irish ownership,"€500,000 - €1,999,999",102
Enterprises Engaged in Research and Development Activities (Number),2015,Non Irish ownership,"€2,000,000 - €4,999,999",46
Enterprises Engaged in Research and Development Activities (Number),2015,Non Irish ownership,"€5,000,000 and over",69
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities of ownership,Any expenditure,1784
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities of ownership,"€0 - €99,999",658
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities of ownership,"€100,000 - €499,999",594
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities of ownership,"€500,000 - €1,999,999",325
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities of ownership,"€2,000,000 - €4,999,999",95
Enterprises Engaged in Research and Development Activities (Number),2017,All nationalities of ownership,"€5,000,000 and over",112
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,Any expenditure,1455
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,"€0 - €99,999",612
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,"€100,000 - €499,999",523
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,"€500,000 - €1,999,999",235
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,"€2,000,000 - €4,999,999",49
Enterprises Engaged in Research and Development Activities (Number),2017,Irish ownership,"€5,000,000 and over",36
Enterprises Engaged in Research and Development Activities (Number),2017,Non Irish ownership,Any expenditure,329
Enterprises Engaged in Research and Development Activities (Number),2017,Non Irish ownership,"€0 - €99,999",46
Enterprises Engaged in Research and Development Activities (Number),2017,Non Irish ownership,"€100,000 - €499,999",71
Enterprises Engaged in Research and Development Activities (Number),2017,Non Irish ownership,"€500,000 - €1,999,999",90
Enterprises Engaged in Research and Development Activities (Number),2017,Non Irish ownership,"€2,000,000 - €4,999,999",46
Enterprises Engaged in Research and Development Activities (Number),2017,Non Irish ownership,"€5,000,000 and over",76
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities of ownership,Any expenditure,1798
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities of ownership,"€0 - €99,999",657
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities of ownership,"€100,000 - €499,999",590
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities of ownership,"€500,000 - €1,999,999",311
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities of ownership,"€2,000,000 - €4,999,999",117
Enterprises Engaged in Research and Development Activities (Number),2019,All nationalities of ownership,"€5,000,000 and over",123
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,Any expenditure,1322
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,"€0 - €99,999",567
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,"€100,000 - €499,999",481
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,"€500,000 - €1,999,999",201
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,"€2,000,000 - €4,999,999",53
Enterprises Engaged in Research and Development Activities (Number),2019,Irish ownership,"€5,000,000 and over",20
Enterprises Engaged in Research and Development Activities (Number),2019,Non Irish ownership,Any expenditure,476
Enterprises Engaged in Research and Development Activities (Number),2019,Non Irish ownership,"€0 - €99,999",90
Enterprises Engaged in Research and Development Activities (Number),2019,Non Irish ownership,"€100,000 - €499,999",109
Enterprises Engaged in Research and Development Activities (Number),2019,Non Irish ownership,"€500,000 - €1,999,999",110
Enterprises Engaged in Research and Development Activities (Number),2019,Non Irish ownership,"€2,000,000 - €4,999,999",64
Enterprises Engaged in Research and Development Activities (Number),2019,Non Irish ownership,"€5,000,000 and over",104
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities of ownership,Any expenditure,1931
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities of ownership,"€0 - €99,999",640
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities of ownership,"€100,000 - €499,999",668
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities of ownership,"€500,000 - €1,999,999",370
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities of ownership,"€2,000,000 - €4,999,999",127
Enterprises Engaged in Research and Development Activities (Number),2021,All nationalities of ownership,"€5,000,000 and over",126
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,Any expenditure,1345
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,"€0 - €99,999",541
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,"€100,000 - €499,999",531
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,"€500,000 - €1,999,999",208
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,"€2,000,000 - €4,999,999",39
Enterprises Engaged in Research and Development Activities (Number),2021,Irish ownership,"€5,000,000 and over",26
Enterprises Engaged in Research and Development Activities (Number),2021,Non Irish ownership,Any expenditure,585
Enterprises Engaged in Research and Development Activities (Number),2021,Non Irish ownership,"€0 - €99,999",99
Enterprises Engaged in Research and Development Activities (Number),2021,Non Irish ownership,"€100,000 - €499,999",137
Enterprises Engaged in Research and Development Activities (Number),2021,Non Irish ownership,"€500,000 - €1,999,999",162
Enterprises Engaged in Research and Development Activities (Number),2021,Non Irish ownership,"€2,000,000 - €4,999,999",88
Enterprises Engaged in Research and Development Activities (Number),2021,Non Irish ownership,"€5,000,000 and over",100
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities of ownership,Any expenditure,2351
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities of ownership,"€0 - €99,999",817
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities of ownership,"€100,000 - €499,999",738
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities of ownership,"€500,000 - €1,999,999",455
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities of ownership,"€2,000,000 - €4,999,999",168
Enterprises Engaged in Research and Development Activities (Number),2023,All nationalities of ownership,"€5,000,000 and over",173
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,Any expenditure,1706
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,"€0 - €99,999",704
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,"€100,000 - €499,999",605
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,"€500,000 - €1,999,999",266
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,"€2,000,000 - €4,999,999",93
Enterprises Engaged in Research and Development Activities (Number),2023,Irish ownership,"€5,000,000 and over",37
Enterprises Engaged in Research and Development Activities (Number),2023,Non Irish ownership,Any expenditure,645
Enterprises Engaged in Research and Development Activities (Number),2023,Non Irish ownership,"€0 - €99,999",112
Enterprises Engaged in Research and Development Activities (Number),2023,Non Irish ownership,"€100,000 - €499,999",134
Enterprises Engaged in Research and Development Activities (Number),2023,Non Irish ownership,"€500,000 - €1,999,999",189
Enterprises Engaged in Research and Development Activities (Number),2023,Non Irish ownership,"€2,000,000 - €4,999,999",75
Enterprises Engaged in Research and Development Activities (Number),2023,Non Irish ownership,"€5,000,000 and over",136
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities of ownership,"€0 - €99,999",34.7
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities of ownership,"€100,000 - €499,999",33
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities of ownership,"€500,000 - €1,999,999",18.7
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities of ownership,"€2,000,000 - €4,999,999",7.5
Enterprises Engaged in Research and Development Activities (%),2007,All nationalities of ownership,"€5,000,000 and over",6.1
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,"€0 - €99,999",40.1
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,"€100,000 - €499,999",35.9
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,"€500,000 - €1,999,999",18
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,"€2,000,000 - €4,999,999",4.5
Enterprises Engaged in Research and Development Activities (%),2007,Irish ownership,"€5,000,000 and over",1.5
Enterprises Engaged in Research and Development Activities (%),2007,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2007,Non Irish ownership,"€0 - €99,999",23.4
Enterprises Engaged in Research and Development Activities (%),2007,Non Irish ownership,"€100,000 - €499,999",27
Enterprises Engaged in Research and Development Activities (%),2007,Non Irish ownership,"€500,000 - €1,999,999",20.3
Enterprises Engaged in Research and Development Activities (%),2007,Non Irish ownership,"€2,000,000 - €4,999,999",13.9
Enterprises Engaged in Research and Development Activities (%),2007,Non Irish ownership,"€5,000,000 and over",15.7
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities of ownership,"€0 - €99,999",33.9
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities of ownership,"€100,000 - €499,999",34.2
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities of ownership,"€500,000 - €1,999,999",21.6
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities of ownership,"€2,000,000 - €4,999,999",5.1
Enterprises Engaged in Research and Development Activities (%),2009,All nationalities of ownership,"€5,000,000 and over",5.2
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,"€0 - €99,999",40.3
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,"€100,000 - €499,999",37
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,"€500,000 - €1,999,999",17.9
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,"€2,000,000 - €4,999,999",3.6
Enterprises Engaged in Research and Development Activities (%),2009,Irish ownership,"€5,000,000 and over",1.3
Enterprises Engaged in Research and Development Activities (%),2009,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2009,Non Irish ownership,"€0 - €99,999",15.4
Enterprises Engaged in Research and Development Activities (%),2009,Non Irish ownership,"€100,000 - €499,999",26.3
Enterprises Engaged in Research and Development Activities (%),2009,Non Irish ownership,"€500,000 - €1,999,999",32.3
Enterprises Engaged in Research and Development Activities (%),2009,Non Irish ownership,"€2,000,000 - €4,999,999",9.4
Enterprises Engaged in Research and Development Activities (%),2009,Non Irish ownership,"€5,000,000 and over",16.6
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities of ownership,"€0 - €99,999",33.5
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities of ownership,"€100,000 - €499,999",39.1
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities of ownership,"€500,000 - €1,999,999",17.9
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities of ownership,"€2,000,000 - €4,999,999",5.2
Enterprises Engaged in Research and Development Activities (%),2011,All nationalities of ownership,"€5,000,000 and over",4.3
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,"€0 - €99,999",38.6
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,"€100,000 - €499,999",41.9
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,"€500,000 - €1,999,999",16.1
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,"€2,000,000 - €4,999,999",2.1
Enterprises Engaged in Research and Development Activities (%),2011,Irish ownership,"€5,000,000 and over",1.3
Enterprises Engaged in Research and Development Activities (%),2011,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2011,Non Irish ownership,"€0 - €99,999",18.9
Enterprises Engaged in Research and Development Activities (%),2011,Non Irish ownership,"€100,000 - €499,999",30.9
Enterprises Engaged in Research and Development Activities (%),2011,Non Irish ownership,"€500,000 - €1,999,999",23
Enterprises Engaged in Research and Development Activities (%),2011,Non Irish ownership,"€2,000,000 - €4,999,999",14.1
Enterprises Engaged in Research and Development Activities (%),2011,Non Irish ownership,"€5,000,000 and over",12.9
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities of ownership,"€0 - €99,999",38.81
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities of ownership,"€100,000 - €499,999",34.87
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities of ownership,"€500,000 - €1,999,999",17.64
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities of ownership,"€2,000,000 - €4,999,999",4.85
Enterprises Engaged in Research and Development Activities (%),2013,All nationalities of ownership,"€5,000,000 and over",3.84
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,"€0 - €99,999",44.73
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,"€100,000 - €499,999",36.21
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,"€500,000 - €1,999,999",15.57
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,"€2,000,000 - €4,999,999",2.16
Enterprises Engaged in Research and Development Activities (%),2013,Irish ownership,"€5,000,000 and over",1.33
Enterprises Engaged in Research and Development Activities (%),2013,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2013,Non Irish ownership,"€0 - €99,999",15.8
Enterprises Engaged in Research and Development Activities (%),2013,Non Irish ownership,"€100,000 - €499,999",29.63
Enterprises Engaged in Research and Development Activities (%),2013,Non Irish ownership,"€500,000 - €1,999,999",25.68
Enterprises Engaged in Research and Development Activities (%),2013,Non Irish ownership,"€2,000,000 - €4,999,999",15.31
Enterprises Engaged in Research and Development Activities (%),2013,Non Irish ownership,"€5,000,000 and over",13.58
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities of ownership,"€0 - €99,999",37.01
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities of ownership,"€100,000 - €499,999",36.11
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities of ownership,"€500,000 - €1,999,999",17.07
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities of ownership,"€2,000,000 - €4,999,999",4.8
Enterprises Engaged in Research and Development Activities (%),2015,All nationalities of ownership,"€5,000,000 and over",5.01
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,"€0 - €99,999",41.94
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,"€100,000 - €499,999",38.78
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,"€500,000 - €1,999,999",14.7
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,"€2,000,000 - €4,999,999",2.96
Enterprises Engaged in Research and Development Activities (%),2015,Irish ownership,"€5,000,000 and over",1.68
Enterprises Engaged in Research and Development Activities (%),2015,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2015,Non Irish ownership,"€0 - €99,999",18.09
Enterprises Engaged in Research and Development Activities (%),2015,Non Irish ownership,"€100,000 - €499,999",25.84
Enterprises Engaged in Research and Development Activities (%),2015,Non Irish ownership,"€500,000 - €1,999,999",26.36
Enterprises Engaged in Research and Development Activities (%),2015,Non Irish ownership,"€2,000,000 - €4,999,999",11.89
Enterprises Engaged in Research and Development Activities (%),2015,Non Irish ownership,"€5,000,000 and over",17.83
Enterprises Engaged in Research and Development Activities (%),2017,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2017,All nationalities of ownership,"€0 - €99,999",36.9
Enterprises Engaged in Research and Development Activities (%),2017,All nationalities of ownership,"€100,000 - €499,999",33.3
Enterprises Engaged in Research and Development Activities (%),2017,All nationalities of ownership,"€500,000 - €1,999,999",18.2
Enterprises Engaged in Research and Development Activities (%),2017,All nationalities of ownership,"€2,000,000 - €4,999,999",5.3
Enterprises Engaged in Research and Development Activities (%),2017,All nationalities of ownership,"€5,000,000 and over",6.3
Enterprises Engaged in Research and Development Activities (%),2017,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2017,Irish ownership,"€0 - €99,999",42.1
Enterprises Engaged in Research and Development Activities (%),2017,Irish ownership,"€100,000 - €499,999",35.9
Enterprises Engaged in Research and Development Activities (%),2017,Irish ownership,"€500,000 - €1,999,999",16.2
Enterprises Engaged in Research and Development Activities (%),2017,Irish ownership,"€2,000,000 - €4,999,999",3.4
Enterprises Engaged in Research and Development Activities (%),2017,Irish ownership,"€5,000,000 and over",2.5
Enterprises Engaged in Research and Development Activities (%),2017,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2017,Non Irish ownership,"€0 - €99,999",14
Enterprises Engaged in Research and Development Activities (%),2017,Non Irish ownership,"€100,000 - €499,999",21.6
Enterprises Engaged in Research and Development Activities (%),2017,Non Irish ownership,"€500,000 - €1,999,999",27.4
Enterprises Engaged in Research and Development Activities (%),2017,Non Irish ownership,"€2,000,000 - €4,999,999",14
Enterprises Engaged in Research and Development Activities (%),2017,Non Irish ownership,"€5,000,000 and over",23.1
Enterprises Engaged in Research and Development Activities (%),2019,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2019,All nationalities of ownership,"€0 - €99,999",36.5
Enterprises Engaged in Research and Development Activities (%),2019,All nationalities of ownership,"€100,000 - €499,999",32.8
Enterprises Engaged in Research and Development Activities (%),2019,All nationalities of ownership,"€500,000 - €1,999,999",17.3
Enterprises Engaged in Research and Development Activities (%),2019,All nationalities of ownership,"€2,000,000 - €4,999,999",6.5
Enterprises Engaged in Research and Development Activities (%),2019,All nationalities of ownership,"€5,000,000 and over",6.8
Enterprises Engaged in Research and Development Activities (%),2019,Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2019,Irish ownership,"€0 - €99,999",42.9
Enterprises Engaged in Research and Development Activities (%),2019,Irish ownership,"€100,000 - €499,999",36.4
Enterprises Engaged in Research and Development Activities (%),2019,Irish ownership,"€500,000 - €1,999,999",15.2
Enterprises Engaged in Research and Development Activities (%),2019,Irish ownership,"€2,000,000 - €4,999,999",4
Enterprises Engaged in Research and Development Activities (%),2019,Irish ownership,"€5,000,000 and over",1.5
Enterprises Engaged in Research and Development Activities (%),2019,Non Irish ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2019,Non Irish ownership,"€0 - €99,999",18.9
Enterprises Engaged in Research and Development Activities (%),2019,Non Irish ownership,"€100,000 - €499,999",22.8
Enterprises Engaged in Research and Development Activities (%),2019,Non Irish ownership,"€500,000 - €1,999,999",23.1
Enterprises Engaged in Research and Development Activities (%),2019,Non Irish ownership,"€2,000,000 - €4,999,999",13.4
Enterprises Engaged in Research and Development Activities (%),2019,Non Irish ownership,"€5,000,000 and over",21.8
Enterprises Engaged in Research and Development Activities (%),2021,All nationalities of ownership,Any expenditure,100
Enterprises Engaged in Research and Development Activities (%),2021,All nationalities of ownership,"€0 - €99,999",33.1
Enterprises Engaged in Research and Development Activities (%),2021,All nationalities of ownership,"€100,000 - €499,999",34.6
Enterprises Engaged in Research and Development Activities (%),2021,All nationalities of ownership,"€500,000 - €1,999,999",19.2
