statistic_label,year,nationality_of_ownership,value
Estimated Total Current Expenditure,2024,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2007,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2007,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2007,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2008,All nationalities,64304.0
Estimated Capital Expenditure - Land and Buildings,2008,Irish ownership,19870.0
Estimated Capital Expenditure - Land and Buildings,2008,Non-Irish ownership,44434.0
Estimated Capital Expenditure - Land and Buildings,2009,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2009,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2009,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2010,All nationalities,38081.0
Estimated Capital Expenditure - Land and Buildings,2010,Irish ownership,22334.0
Estimated Capital Expenditure - Land and Buildings,2010,Non-Irish ownership,15747.0
Estimated Capital Expenditure - Land and Buildings,2011,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2011,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2011,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2012,All nationalities,12902.0
Estimated Capital Expenditure - Land and Buildings,2012,Irish ownership,6641.0
Estimated Capital Expenditure - Land and Buildings,2012,Non-Irish ownership,6262.0
Estimated Capital Expenditure - Land and Buildings,2013,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2013,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2013,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2014,All nationalities,10900.0
Estimated Capital Expenditure - Land and Buildings,2014,Irish ownership,6089.0
Estimated Capital Expenditure - Land and Buildings,2014,Non-Irish ownership,4812.0
Estimated Capital Expenditure - Land and Buildings,2015,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2015,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2015,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2016,All nationalities,33944.0
Estimated Capital Expenditure - Land and Buildings,2016,Irish ownership,13800.0
Estimated Capital Expenditure - Land and Buildings,2016,Non-Irish ownership,20144.0
Estimated Capital Expenditure - Land and Buildings,2017,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2017,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2017,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2018,All nationalities,64849.0
Estimated Capital Expenditure - Land and Buildings,2018,Irish ownership,20721.0
Estimated Capital Expenditure - Land and Buildings,2018,Non-Irish ownership,44128.0
Estimated Capital Expenditure - Land and Buildings,2019,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2019,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2019,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2020,All nationalities,46397.0
Estimated Capital Expenditure - Land and Buildings,2020,Irish ownership,7630.0
Estimated Capital Expenditure - Land and Buildings,2020,Non-Irish ownership,38767.0
Estimated Capital Expenditure - Land and Buildings,2021,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2021,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2021,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2022,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2022,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2022,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2023,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2023,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2023,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2024,All nationalities,187171.0
Estimated Capital Expenditure - Land and Buildings,2024,Irish ownership,187171.0
Estimated Capital Expenditure - Land and Buildings,2024,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2007,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2007,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2007,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2008,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2008,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2008,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2009,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2009,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2009,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2010,All nationalities,3203.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2010,Irish ownership,2206.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2010,Non-Irish ownership,997.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2011,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2011,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2011,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2012,All nationalities,7061.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2012,Irish ownership,3787.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2012,Non-Irish ownership,3274.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2013,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2013,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2013,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2014,All nationalities,12802.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2014,Irish ownership,4285.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2014,Non-Irish ownership,8516.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2015,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2015,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2015,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2016,All nationalities,31870.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2016,Irish ownership,8046.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2016,Non-Irish ownership,23824.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2017,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2017,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2017,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2018,All nationalities,16070.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2018,Irish ownership,7801.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2018,Non-Irish ownership,8269.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2019,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2019,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2019,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2020,All nationalities,429894.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2020,Irish ownership,13325.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2020,Non-Irish ownership,416568.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2021,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2021,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2021,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2022,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2022,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2022,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2023,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2023,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2023,Non-Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2024,All nationalities,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2024,Irish ownership,187171.0
Estimated Capital Expenditure- Payments made for licences to use intellectual products,2024,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2007,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2007,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2007,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2008,All nationalities,206768.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2008,Irish ownership,32505.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2008,Non-Irish ownership,174263.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2009,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2009,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2009,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2010,All nationalities,228053.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2010,Irish ownership,40882.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2010,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2011,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2011,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2011,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2012,All nationalities,85823.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2012,Irish ownership,17590.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2012,Non-Irish ownership,68233.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2013,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2013,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2013,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2014,All nationalities,104341.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2014,Irish ownership,20418.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2014,Non-Irish ownership,83923.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2015,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2015,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2015,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2016,All nationalities,99648.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2016,Irish ownership,32366.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2016,Non-Irish ownership,67283.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2017,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2017,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2017,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2018,All nationalities,103731.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2018,Irish ownership,26330.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2018,Non-Irish ownership,77401.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2019,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2019,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2019,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2020,All nationalities,135763.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2020,Irish ownership,20101.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2020,Non-Irish ownership,115662.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2021,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2021,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2021,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2022,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2022,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2022,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2023,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2023,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2023,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2024,All nationalities,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2024,Irish ownership,187171.0
Estimated Capital Expenditure - Instruments and Equipment (excluding software),2024,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2007,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2008,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2009,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,All nationalities,30143.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,Irish ownership,26188.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2010,Non-Irish ownership,3955.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2011,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,All nationalities,14566.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,Irish ownership,3970.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2012,Non-Irish ownership,10596.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2013,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,All nationalities,12977.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,Irish ownership,6895.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2014,Non-Irish ownership,6082.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2015,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,All nationalities,10846.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,Irish ownership,8816.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2016,Non-Irish ownership,2030.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2017,Non-Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,All nationalities,14976.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,Irish ownership,10795.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2018,Non-Irish ownership,4181.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,All nationalities,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,Irish ownership,187171.0
Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes,2019,Non-Irish ownership,187171.0
